Date,Time,Temp,Year,Month,Day,Week,Park,Lat,Long,Percent_asphalt,Location,Button,Round
27/05/2019,12:04:00,25,2019,May,27,22,Erindale,43.55044,79.65558,30.299,Park,Erindale3P,First
27/05/2019,12:34:00,25,2019,May,27,22,Erindale,43.55044,79.65558,30.299,Park,Erindale3P,First
27/05/2019,13:04:00,25,2019,May,27,22,Erindale,43.55044,79.65558,30.299,Park,Erindale3P,First
27/05/2019,13:34:00,30,2019,May,27,22,Erindale,43.55044,79.65558,30.299,Park,Erindale3P,First
27/05/2019,14:04:00,32,2019,May,27,22,Erindale,43.55044,79.65558,30.299,Park,Erindale3P,First
27/05/2019,14:34:00,295,2019,May,27,22,Erindale,43.55044,79.65558,30.299,Park,Erindale3P,First
27/05/2019,15:04:00,325,2019,May,27,22,Erindale,43.55044,79.65558,30.299,Park,Erindale3P,First
27/05/2019,15:34:00,28,2019,May,27,22,Erindale,43.55044,79.65558,30.299,Park,Erindale3P,First
27/05/2019,16:04:00,25,2019,May,27,22,Erindale,43.55044,79.65558,30.299,Park,Erindale3P,First
27/05/2019,16:34:00,245,2019,May,27,22,Erindale,43.55044,79.65558,30.299,Park,Erindale3P,First
27/05/2019,17:04:00,235,2019,May,27,22,Erindale,43.55044,79.65558,30.299,Park,Erindale3P,First
27/05/2019,17:34:00,23,2019,May,27,22,Erindale,43.55044,79.65558,30.299,Park,Erindale3P,First
27/05/2019,18:04:00,225,2019,May,27,22,Erindale,43.55044,79.65558,30.299,Park,Erindale3P,First
27/05/2019,18:34:00,205,2019,May,27,22,Erindale,43.55044,79.65558,30.299,Park,Erindale3P,First
27/05/2019,19:04:00,195,2019,May,27,22,Erindale,43.55044,79.65558,30.299,Park,Erindale3P,First
27/05/2019,19:34:00,185,2019,May,27,22,Erindale,43.55044,79.65558,30.299,Park,Erindale3P,First
27/05/2019,20:04:00,18,2019,May,27,22,Erindale,43.55044,79.65558,30.299,Park,Erindale3P,First
27/05/2019,20:34:00,175,2019,May,27,22,Erindale,43.55044,79.65558,30.299,Park,Erindale3P,First
27/05/2019,21:04:00,175,2019,May,27,22,Erindale,43.55044,79.65558,30.299,Park,Erindale3P,First
27/05/2019,21:34:00,17,2019,May,27,22,Erindale,43.55044,79.65558,30.299,Park,Erindale3P,First
27/05/2019,22:04:00,17,2019,May,27,22,Erindale,43.55044,79.65558,30.299,Park,Erindale3P,First
27/05/2019,22:34:00,165,2019,May,27,22,Erindale,43.55044,79.65558,30.299,Park,Erindale3P,First
27/05/2019,23:04:00,165,2019,May,27,22,Erindale,43.55044,79.65558,30.299,Park,Erindale3P,First
27/05/2019,23:34:00,16,2019,May,27,22,Erindale,43.55044,79.65558,30.299,Park,Erindale3P,First
28/05/2019,00:04:00,155,2019,May,28,22,Erindale,43.55044,79.65558,30.299,Park,Erindale3P,First
28/05/2019,00:34:00,15,2019,May,28,22,Erindale,43.55044,79.65558,30.299,Park,Erindale3P,First
28/05/2019,01:04:00,15,2019,May,28,22,Erindale,43.55044,79.65558,30.299,Park,Erindale3P,First
28/05/2019,01:34:00,145,2019,May,28,22,Erindale,43.55044,79.65558,30.299,Park,Erindale3P,First
28/05/2019,02:04:00,14,2019,May,28,22,Erindale,43.55044,79.65558,30.299,Park,Erindale3P,First
28/05/2019,02:34:00,14,2019,May,28,22,Erindale,43.55044,79.65558,30.299,Park,Erindale3P,First
28/05/2019,03:04:00,14,2019,May,28,22,Erindale,43.55044,79.65558,30.299,Park,Erindale3P,First
28/05/2019,03:34:00,13,2019,May,28,22,Erindale,43.55044,79.65558,30.299,Park,Erindale3P,First
28/05/2019,04:04:00,13,2019,May,28,22,Erindale,43.55044,79.65558,30.299,Park,Erindale3P,First
28/05/2019,04:34:00,125,2019,May,28,22,Erindale,43.55044,79.65558,30.299,Park,Erindale3P,First
28/05/2019,05:04:00,12,2019,May,28,22,Erindale,43.55044,79.65558,30.299,Park,Erindale3P,First
28/05/2019,05:34:00,115,2019,May,28,22,Erindale,43.55044,79.65558,30.299,Park,Erindale3P,First
28/05/2019,06:04:00,11,2019,May,28,22,Erindale,43.55044,79.65558,30.299,Park,Erindale3P,First
28/05/2019,06:34:00,11,2019,May,28,22,Erindale,43.55044,79.65558,30.299,Park,Erindale3P,First
28/05/2019,07:04:00,11,2019,May,28,22,Erindale,43.55044,79.65558,30.299,Park,Erindale3P,First
28/05/2019,07:34:00,11,2019,May,28,22,Erindale,43.55044,79.65558,30.299,Park,Erindale3P,First
28/05/2019,08:04:00,11,2019,May,28,22,Erindale,43.55044,79.65558,30.299,Park,Erindale3P,First
28/05/2019,08:34:00,11,2019,May,28,22,Erindale,43.55044,79.65558,30.299,Park,Erindale3P,First
28/05/2019,09:04:00,105,2019,May,28,22,Erindale,43.55044,79.65558,30.299,Park,Erindale3P,First
28/05/2019,09:34:00,105,2019,May,28,22,Erindale,43.55044,79.65558,30.299,Park,Erindale3P,First
28/05/2019,10:04:00,11,2019,May,28,22,Erindale,43.55044,79.65558,30.299,Park,Erindale3P,First
28/05/2019,10:34:00,11,2019,May,28,22,Erindale,43.55044,79.65558,30.299,Park,Erindale3P,First
28/05/2019,11:04:00,115,2019,May,28,22,Erindale,43.55044,79.65558,30.299,Park,Erindale3P,First
28/05/2019,11:34:00,12,2019,May,28,22,Erindale,43.55044,79.65558,30.299,Park,Erindale3P,First
28/05/2019,12:04:00,12,2019,May,28,22,Erindale,43.55044,79.65558,30.299,Park,Erindale3P,First
28/05/2019,12:34:00,125,2019,May,28,22,Erindale,43.55044,79.65558,30.299,Park,Erindale3P,First
28/05/2019,13:04:00,125,2019,May,28,22,Erindale,43.55044,79.65558,30.299,Park,Erindale3P,First
28/05/2019,13:34:00,135,2019,May,28,22,Erindale,43.55044,79.65558,30.299,Park,Erindale3P,First
28/05/2019,14:04:00,135,2019,May,28,22,Erindale,43.55044,79.65558,30.299,Park,Erindale3P,First
28/05/2019,14:34:00,145,2019,May,28,22,Erindale,43.55044,79.65558,30.299,Park,Erindale3P,First
28/05/2019,15:04:00,14,2019,May,28,22,Erindale,43.55044,79.65558,30.299,Park,Erindale3P,First
28/05/2019,15:34:00,145,2019,May,28,22,Erindale,43.55044,79.65558,30.299,Park,Erindale3P,First
28/05/2019,16:04:00,15,2019,May,28,22,Erindale,43.55044,79.65558,30.299,Park,Erindale3P,First
28/05/2019,16:34:00,14,2019,May,28,22,Erindale,43.55044,79.65558,30.299,Park,Erindale3P,First
28/05/2019,17:04:00,145,2019,May,28,22,Erindale,43.55044,79.65558,30.299,Park,Erindale3P,First
28/05/2019,17:34:00,14,2019,May,28,22,Erindale,43.55044,79.65558,30.299,Park,Erindale3P,First
