Date,Time,Temp,Week,Park,Lat,Long,Percent_asphalt,Location,Button,Round
04/07/19,13:24:01,26,27,HighPark,43.64533,79.44928,79.892,East,HighPark2E,First
04/07/19,13:34:01,27,27,HighPark,43.64533,79.44928,79.892,East,HighPark2E,First
04/07/19,13:44:01,27,27,HighPark,43.64533,79.44928,79.892,East,HighPark2E,First
04/07/19,13:54:01,27,27,HighPark,43.64533,79.44928,79.892,East,HighPark2E,First
04/07/19,14:04:01,27,27,HighPark,43.64533,79.44928,79.892,East,HighPark2E,First
04/07/19,14:14:01,28,27,HighPark,43.64533,79.44928,79.892,East,HighPark2E,First
04/07/19,14:24:01,27,27,HighPark,43.64533,79.44928,79.892,East,HighPark2E,First
04/07/19,14:34:01,27,27,HighPark,43.64533,79.44928,79.892,East,HighPark2E,First
04/07/19,14:44:01,27,27,HighPark,43.64533,79.44928,79.892,East,HighPark2E,First
04/07/19,14:54:01,27,27,HighPark,43.64533,79.44928,79.892,East,HighPark2E,First
04/07/19,15:04:01,27,27,HighPark,43.64533,79.44928,79.892,East,HighPark2E,First
04/07/19,15:14:01,27,27,HighPark,43.64533,79.44928,79.892,East,HighPark2E,First
04/07/19,15:24:01,27,27,HighPark,43.64533,79.44928,79.892,East,HighPark2E,First
04/07/19,15:34:01,27,27,HighPark,43.64533,79.44928,79.892,East,HighPark2E,First
04/07/19,15:44:01,27,27,HighPark,43.64533,79.44928,79.892,East,HighPark2E,First
04/07/19,15:54:01,27,27,HighPark,43.64533,79.44928,79.892,East,HighPark2E,First
04/07/19,16:04:01,27,27,HighPark,43.64533,79.44928,79.892,East,HighPark2E,First
04/07/19,16:14:01,26,27,HighPark,43.64533,79.44928,79.892,East,HighPark2E,First
04/07/19,16:24:01,27,27,HighPark,43.64533,79.44928,79.892,East,HighPark2E,First
04/07/19,16:34:01,27,27,HighPark,43.64533,79.44928,79.892,East,HighPark2E,First
04/07/19,16:44:01,27,27,HighPark,43.64533,79.44928,79.892,East,HighPark2E,First
04/07/19,16:54:01,27,27,HighPark,43.64533,79.44928,79.892,East,HighPark2E,First
04/07/19,17:04:01,27,27,HighPark,43.64533,79.44928,79.892,East,HighPark2E,First
04/07/19,17:14:01,27,27,HighPark,43.64533,79.44928,79.892,East,HighPark2E,First
04/07/19,17:24:01,26,27,HighPark,43.64533,79.44928,79.892,East,HighPark2E,First
04/07/19,17:34:01,26,27,HighPark,43.64533,79.44928,79.892,East,HighPark2E,First
04/07/19,17:44:01,26,27,HighPark,43.64533,79.44928,79.892,East,HighPark2E,First
04/07/19,17:54:01,26,27,HighPark,43.64533,79.44928,79.892,East,HighPark2E,First
04/07/19,18:04:01,26,27,HighPark,43.64533,79.44928,79.892,East,HighPark2E,First
04/07/19,18:14:01,26,27,HighPark,43.64533,79.44928,79.892,East,HighPark2E,First
04/07/19,18:24:01,26,27,HighPark,43.64533,79.44928,79.892,East,HighPark2E,First
04/07/19,18:34:01,25,27,HighPark,43.64533,79.44928,79.892,East,HighPark2E,First
04/07/19,18:44:01,25,27,HighPark,43.64533,79.44928,79.892,East,HighPark2E,First
04/07/19,18:54:01,25,27,HighPark,43.64533,79.44928,79.892,East,HighPark2E,First
04/07/19,19:04:01,25,27,HighPark,43.64533,79.44928,79.892,East,HighPark2E,First
04/07/19,19:14:01,25,27,HighPark,43.64533,79.44928,79.892,East,HighPark2E,First
04/07/19,19:24:01,25,27,HighPark,43.64533,79.44928,79.892,East,HighPark2E,First
04/07/19,19:34:01,25,27,HighPark,43.64533,79.44928,79.892,East,HighPark2E,First
04/07/19,19:44:01,25,27,HighPark,43.64533,79.44928,79.892,East,HighPark2E,First
04/07/19,19:54:01,25,27,HighPark,43.64533,79.44928,79.892,East,HighPark2E,First
04/07/19,20:04:01,25,27,HighPark,43.64533,79.44928,79.892,East,HighPark2E,First
04/07/19,20:14:01,25,27,HighPark,43.64533,79.44928,79.892,East,HighPark2E,First
04/07/19,20:24:01,25,27,HighPark,43.64533,79.44928,79.892,East,HighPark2E,First
04/07/19,20:34:01,25,27,HighPark,43.64533,79.44928,79.892,East,HighPark2E,First
04/07/19,20:44:01,25,27,HighPark,43.64533,79.44928,79.892,East,HighPark2E,First
04/07/19,20:54:01,25,27,HighPark,43.64533,79.44928,79.892,East,HighPark2E,First
04/07/19,21:04:01,24,27,HighPark,43.64533,79.44928,79.892,East,HighPark2E,First
04/07/19,21:14:01,24,27,HighPark,43.64533,79.44928,79.892,East,HighPark2E,First
04/07/19,21:24:01,24,27,HighPark,43.64533,79.44928,79.892,East,HighPark2E,First
04/07/19,21:34:01,24,27,HighPark,43.64533,79.44928,79.892,East,HighPark2E,First
04/07/19,21:44:01,24,27,HighPark,43.64533,79.44928,79.892,East,HighPark2E,First
04/07/19,21:54:01,24,27,HighPark,43.64533,79.44928,79.892,East,HighPark2E,First
