Park ,Plant,Latitude,Longitude,Herbivory,Notes ,HCN,Ac,Li,Vegetation cover m²,Asphalt m²,% Vegetation,% Asphalt,,,HCN,,,,,,,,,Centre park,
Rouge,1,N 43.81913°,O 079.17152°,4,1092,1,1,1,149.07,164.93,47.47452229,52.52547771,,,,,,,,,,,,N 43.485568,O 079.093999
Rouge,2,N 43.82005°,O 079.17165°,6,1093,0,1,0,314,0,100,0,,,Park,0.270833333,,,,,,,,,
Rouge,3,N 43.81979°,O 079.17294°,6,1094,0,0,0,314,0,100,0,,,Side 1,0.3125,,,,,,,,,
Rouge,4,N 43.81989°,O 079.17427°,12,1095,0,1,0,182.33,131.67,58.06687898,41.93312102,,,Side 2,0.322916667,,,,,,,,,
Rouge,5,N 43.81904°,O 079.17350°,2,1096,0,1,0,314,0,100,0,,,,,,,,,,,,,
Rouge,6,N 43.81834°,O 079.17267°,2,1097,0,0,0,83.22,230.78,26.50318471,73.49681529,,,,,,,,,,,,,
Rouge,7,N 43.81785°,O 079.17188°,0,1098,0,0,0,292.97,21.03,93.30254777,6.697452229,,,,,,,,,,,,,
Rouge,8,N 43.81817°,O 079.17060°,0,1099,0,0,1,292.08,21.92,93.01910828,6.98089172,,,,,,,,,,,,,
Rouge,9,N 43.81742°,O 079.16998°,3,1100,0,0,0,241.5,72.5,76.91082803,23.08917197,,,,,,,,,,,,,
Rouge,10,N 43.81721°,O 079.17059°,1,1101,0,0,1,314,0,100,0,,,,,,,,,,,,,
Rouge,11,N 43.81769°,O 079.16955°,0,1102,1,1,1,314,0,100,0,,,,,,,,,,,,,
Rouge,12,N 43.81742°,O 079.16864°,4,1103,1,1,1,314,0,100,0,,,,,,,,,,,,,
Rouge,13,N 43.81710°,O 079.16785°,0,1104,0,0,0,248.21,65.79,79.0477707,20.9522293,,,,,,,,,,,,,
Rouge,14,N 43.81698°,O 079.16715°,4,1105,0,1,0,314,0,100,0,,,,,,,,,,,,,
Rouge,15,N 43.81612°,O 079.16618°,45,1106,0,0,0,314,0,100,0,,,,,,,,,,,,,
Rouge,16,N 43.81556°,O 079.16660°,2,1107,0,0,0,314,0,100,0,,,Ac,,,,,,,,,,
Rouge,17,N 43.81509°,O 079.16736°,0,1108,0,1,0,314,0,100,0,,,,ac,Ac,,,,,,,,
Rouge,18,N 43.81505°,O 079.16618°,0,1109,0,0,0,314,0,100,0,,,Park ,0.58630197,0.41369803,,,,,,,,
Rouge,19,N 43.81505°,O 079.16546°,2,1110,0,1,0,314,0,100,0,,,Side 1,0.540061725,0.459938275,,,,,,,,
Rouge,20,N 43.81510°,O 079.16466°,6,1111,0,1,0,314,0,100,0,,,Side 2,0.478713554,0.521286446,,,,,,,,
Rouge,21,N 43.81275°,O 079.15678°,4,1112,0,0,0,197.02,116.98,62.74522293,37.25477707,,,,,,,,,,,,,
Rouge,22,N 43.81355°,O 079.15665°,4,1113,1,1,1,175.38,138.62,55.85350318,44.14649682,,,,,,,,,,,,,
Rouge,23,N 43.81346°,O 079.15433°,0,1114,0,0,1,314,0,100,0,,,,,,,,,,,,,
Rouge,24,N 43.81340°,O 079.15385°,0,1115,1,1,1,314,0,100,0,,,,,,,,,,,,,
Rouge,25,N 43.81337°,O 079.15356°,0,1116,0,1,0,314,0,100,0,,,,,,,,,,,,,
Rouge,26,N 43.81371°,O 079.15266°,0,1117,0,0,0,314,0,100,0,,,,,,,,,,,,,
Rouge,27,N 43.81360°,O 079.15254°,2,1118,0,1,0,314,0,100,0,,,,,,,,,,,,,
Rouge,28,N 43.81323°,O 079.15267°,0,1119,0,0,0,314,0,100,0,,,,,,,,,,,,,
Rouge,29,N 43.81242°,O 079.15390°,0,1120,1,1,1,314,0,100,0,,,,,,,,,,,,,
Rouge,30,N 43.81319°,O 079.15187°,0,1121,0,0,1,314,0,100,0,,,,,,,,,,,,,
Rouge,31,N 43.80614°,O 079.15191°,8,1122,0,0,0,314,0,100,0,,,Li,,,,,,,,,,
Rouge,32,N 43.80614°,O 079.15384°,0,1123,0,0,0,314,0,100,0,,,,li,Li,,,,,,,,
Rouge,33,N 43.80734°,O 079.15314°,0,1124,1,1,1,314,0,100,0,,,Park,0.79713027,0.20286973,,,,,,,,
Rouge,34,N 43.80787°,O 079.15310°,0,1125,0,1,0,314,0,100,0,,,Side 1,0.783953655,0.216046345,,,,,,,,
Rouge,35,N 43.80882°,O 079.15220°,50,1127,0,1,0,314,0,100,0,,,Side 2,0.783953655,0.216046345,,,,,,,,
Rouge,36,N 43.81007°,O 079.15295°,6,1126,0,1,0,314,0,100,0,,,,,,,,,,,,,
Rouge,37,N 43.81396°,O 079.15579°,0,1128,0,1,0,314,0,100,0,,,,,,,,,,,,,
Rouge,38,N 43.81398°,O 079.15527°,0,1129,1,1,1,314,0,100,0,,,,,,,,,,,,,
Rouge,39,N 43.81400°,O 079.15501°,2,1130,0,1,0,314,0,100,0,,,,,,,,,,,,,
Rouge,40,N 43.81389°,O 079.15455°,2,1131,0,1,0,314,0,100,0,,,,,,,,,,,,,
Rouge,41,N 43.81385°,O 079.15417°,7,1132,0,1,0,314,0,100,0,,,,,,,,,,,,,
Rouge,42,N 43.81390°,O 079.15382°,4,1133,1,1,1,203.64,110.36,64.85350318,35.14649682,,,,,,,,,,,,,
Rouge,43,N 43.81384°,O 079.15337°,0,1134,1,1,1,314,0,100,0,,,,,,,,,,,,,
Rouge,44,N 43.81386°,O 079.15298°,0,1135,0,1,0,314,0,100,0,,,,,,,,,,,,,
Rouge,45,N 43.81404°,O 079.15264°,4,1136,1,1,1,314,0,100,0,,,,,,,,,,,,,
Rouge,46,N 43.81428°,O 079.15196°,0,1137,1,1,1,314,0,100,0,,,Herbivory,,,,,,,,,,
Rouge,47,N 43.81422°,O 079.15176°,0,1138,1,1,1,314,0,100,0,,,,,,,,,,,,,
Rouge,48,N 43.81411°,O 079.15154°,33,1139,0,1,0,314,0,100,0,,,Park,7.802083333,,,,,,,,,
Rouge,49,N 43.81424°,O 079.15251°,55,1140,1,1,1,314,0,100,0,,,Side 1,1.864583333,,,,,,,,,
Rouge,50,N 43.81439°,O 079.15303°,0,1141,1,1,1,282.74,31.26,90.04458599,9.955414013,,,Side 2,3,,,,,,,,,
Rouge,51,N 43.81446°,O 079.15350°,50,1142,1,1,1,97.75,216.25,31.13057325,68.86942675,,,,,,,,,,,,,
Rouge,52,N 43.81420°,O 079.15364°,2,1143,0,0,0,156.93,157.07,49.97770701,50.02229299,,,,,,,,,,,,,
Rouge,53,N 43.81420°,O 079.15415°,0,1144,0,0,1,186.8,127.2,59.49044586,40.50955414,,,,,,,,,,,,,
Rouge,54,N 43.81450°,O 079.15814°,40,1145,0,1,0,314,0,100,0,,,,,,,,,,,,,
Rouge,55,N 43.81575°,O 079.15980°,12,1146,0,0,0,314,0,100,0,,,,,,,,,,,,,
Rouge,56,N 43.81550°,O 079.16004°,0,1147,0,0,0,314,0,100,0,,,,,,,,,,,,,
Rouge,57,N 43.81529°,O 079.16005°,2,1148,0,1,0,314,0,100,0,,,,,,,,,,,,,
Rouge,58,N 43.81554°,O 079.16018°,16,1149,0,0,0,314,0,100,0,,,,,,,,,,,,,
Rouge,59,N 43.81570°,O 079.16083°,12,1150,0,1,0,314,0,100,0,,,,,,,,,,,,,
Rouge,60,N 43.81667°,O 079.16157°,0,1151,1,1,1,314,0,100,0,,,,,,,,,,,,,
Rouge,61,N 43.81693°,O 079.16180°,0,1152,0,1,0,314,0,100,0,,,,,,,,,,,,,
Rouge,62,N 43.81725°,O 079.16190°,17,1153,0,1,0,314,0,100,0,,,,,,,,,,,,,
Rouge,63,N 43.81804°,O 079.16225°,14,1154,0,1,0,314,0,100,0,,,,,,,,,,,,,
Rouge,64,N 43.81825°,O 079.16268°,1,1155,1,1,1,314,0,100,0,,,,,,,,,,,,,
Rouge,65,N 43.81847°,O 079.16315°,0,1156,0,0,1,314,0,100,0,,,,,,,,,,,,,
Rouge,66,N 43.81862°,O 079.16357°,0,1157,0,1,0,314,0,100,0,,,,,,,,,,,,,
Rouge,67,N 43.81858°,O 079.16393°,2,1158,0,0,1,314,0,100,0,,,,,,,,,,,,,
Rouge,68,N 43.81810°,O 079.16470°,0,1159,0,0,0,314,0,100,0,,,,,,,,,,,,,
Rouge,69,N 43.81775°,O 079.16565°,0,1160,1,1,1,314,0,100,0,,,,,,,,,,,,,
Rouge,70,N 43.81773°,O 079.16593°,5,1161,0,1,0,314,0,100,0,,,,,,,,,,,,,
Rouge,71,N 43.81808°,O 079.16612°,0,1162,1,1,1,314,0,100,0,,,,,,,,,,,,,
Rouge,72,N 43.81966°,O 079.16664°,25,1163,0,1,0,314,0,100,0,,,,,,,,,,,,,
